Ewe/V	<I>/mA	
-1.0158243E+000	-5.460428083292099E-003
-1.0189075E+000	-5.400079806069987E-003
-1.0218588E+000	-5.311411188618623E-003
-1.0250602E+000	-5.236946129506190E-003
-1.0281878E+000	-5.197374946939295E-003
-1.0312105E+000	-5.187588755104244E-003
-1.0343767E+000	-5.153924177228375E-003
-1.0373241E+000	-5.081244419086167E-003
-1.0405138E+000	-5.006176791279612E-003
-1.0436150E+000	-4.960453230199044E-003
-1.0467285E+000	-4.943537112012567E-003
-1.0498130E+000	-4.938300813462006E-003
-1.0528800E+000	-4.890605794571434E-003
-1.0557311E+000	-4.820801314248718E-003
-1.0589924E+000	-4.765591744834263E-003
-1.0620723E+000	-4.754293835698531E-003
-1.0652252E+000	-4.755117047320043E-003
-1.0683174E+000	-4.726507388665729E-003
-1.0711889E+000	-4.668830958735277E-003
-1.0744685E+000	-4.606923018465228E-003
-1.0773380E+000	-4.584738672390051E-003
-1.0804642E+000	-4.589197719399502E-003
-1.0836669E+000	-4.576682957836697E-003
-1.0866257E+000	-4.530491248423064E-003
-1.0897247E+000	-4.471568828746188E-003
-1.0927149E+000	-4.438409624331795E-003
-1.0960429E+000	-4.438909573082114E-003
-1.0990833E+000	-4.443275142031258E-003
-1.1022104E+000	-4.413646551906160E-003
-1.1051009E+000	-4.358664679849827E-003
-1.1081536E+000	-4.312290723451684E-003
-1.1116247E+000	-4.302143444777223E-003
-1.1143954E+000	-4.312379276630695E-003
-1.1174303E+000	-4.302102462913460E-003
-1.1206254E+000	-4.259280047465716E-003
-1.1235249E+000	-4.203440514597111E-003
-1.1267725E+000	-4.182615729730183E-003
-1.1297911E+000	-4.191035558148690E-003
-1.1327798E+000	-4.193875005609823E-003
-1.1360819E+000	-4.170804157313662E-003
-1.1391476E+000	-4.121633572042677E-003
-1.1422133E+000	-4.083649364409740E-003
-1.1452748E+000	-4.087321410582118E-003
-1.1480870E+000	-4.097386865688737E-003
-1.1514232E+000	-4.088726223861666E-003
-1.1543567E+000	-4.052784223923855E-003
-1.1575574E+000	-4.005157529133746E-003
-1.1604915E+000	-3.993986623722115E-003
-1.1637752E+000	-4.001994774301118E-003
-1.1666726E+000	-4.015016367800064E-003
-1.1696470E+000	-3.992777367654653E-003
-1.1731118E+000	-3.944413897150820E-003
-1.1759446E+000	-3.918350703803034E-003
-1.1791334E+000	-3.932933705820159E-003
-1.1821433E+000	-3.946137110233398E-003
-1.1852152E+000	-3.939279787735856E-003
-1.1882739E+000	-3.894895194337417E-003
-1.1914371E+000	-3.857261143918669E-003
-1.1945716E+000	-3.854935298607287E-003
-1.1978056E+000	-3.875225557879147E-003
