Ewe/V	<I>/mA	
-1.0337955E+000	-1.121545434417522E-003
-1.0309734E+000	-1.146646909497963E-003
-1.0281333E+000	-1.142349711325812E-003
-1.0245539E+000	-1.097001233355446E-003
-1.0215576E+000	-1.056584282496582E-003
-1.0185443E+000	-1.043122471278711E-003
-1.0154392E+000	-1.060688271349719E-003
-1.0124627E+000	-1.069098622297461E-003
-1.0092294E+000	-1.033333627268415E-003
-1.0062927E+000	-9.887944985799944E-004
-1.0032960E+000	-9.524588972453785E-004
-9.9981856E-001	-9.563695211990582E-004
-9.9705535E-001	-9.642091241386999E-004
-9.9385947E-001	-9.408470824285222E-004
-9.9067736E-001	-8.803331214884153E-004
-9.8776084E-001	-8.240187728548471E-004
-9.8478377E-001	-8.057450752484534E-004
-9.8165345E-001	-8.070524375349535E-004
-9.7827357E-001	-7.873464995944730E-004
-9.7539335E-001	-7.251704612047279E-004
-9.7244364E-001	-6.447339417788413E-004
-9.6922648E-001	-5.976398383568593E-004
-9.6619898E-001	-5.829314048071410E-004
-9.6328384E-001	-5.577572282910682E-004
-9.6027410E-001	-4.874459479010176E-004
-9.5686591E-001	-3.841293770130078E-004
-9.5391655E-001	-2.985350377388476E-004
-9.5079762E-001	-2.374321605600467E-004
-9.4767618E-001	-1.977814588047166E-004
-9.4464523E-001	-1.265380085188530E-004
-9.4185257E-001	-9.466152482726682E-007
-9.3846560E-001	1.294987184244135E-004
-9.3553340E-001	2.385443695414684E-004
-9.3222713E-001	3.174569356839850E-004
-9.2926836E-001	3.962717594073899E-004
-9.2627043E-001	5.265381375876965E-004
-9.2308265E-001	7.034139959013648E-004
-9.2022544E-001	8.599022183294197E-004
-9.1673863E-001	9.894745580660523E-004
-9.1395575E-001	1.090462332456357E-003
-9.1070080E-001	1.239879743847130E-003
-9.0761447E-001	1.437871407785816E-003
-9.0470904E-001	1.642211462288811E-003
-9.0129167E-001	1.813747055783611E-003
-8.9855582E-001	1.939483623540836E-003
-8.9546579E-001	2.088652045988338E-003
-8.9227259E-001	2.288204693383832E-003
-8.8926756E-001	2.515549729910822E-003
-8.8624752E-001	2.704351427999956E-003
-8.8315731E-001	2.856306130297512E-003
-8.7986684E-001	2.993472484411959E-003
-8.7699455E-001	3.175580734672862E-003
-8.7406248E-001	3.395331944018053E-003
-8.7059206E-001	3.617427118635028E-003
-8.6777776E-001	3.775497940783423E-003
-8.6453354E-001	3.892227627007881E-003
-8.6138606E-001	4.026661772773624E-003
-8.5856915E-001	4.213137699642711E-003
-8.5529697E-001	4.414710561799692E-003
-8.5244197E-001	4.558536829888132E-003
-8.4932119E-001	4.641776084309435E-003
-8.4606731E-001	4.701194416026885E-003
-8.4337097E-001	4.825594021570262E-003
-8.3998770E-001	4.974244938694014E-003
-8.3696502E-001	5.093983509076291E-003
-8.3371264E-001	5.139882972868631E-003
-8.3078051E-001	5.144582166719518E-003
-8.2767868E-001	5.187916083221871E-003
-8.2448840E-001	5.261599500045129E-003
-8.2123601E-001	5.329311976506060E-003
-8.1840801E-001	5.335002834726779E-003
-8.1542832E-001	5.277560604164542E-003
-8.1227267E-001	5.236704913061538E-003
-8.0907333E-001	5.223469501548353E-003
-8.0596215E-001	5.236440857191035E-003
-8.0287415E-001	5.207735171237671E-003
-7.9989475E-001	5.113159768110834E-003
-7.9691702E-001	5.018690694929058E-003
-7.9385203E-001	4.951835278851444E-003
-7.9061121E-001	4.922411426572848E-003
-7.8758419E-001	4.874079985501552E-003
-7.8460932E-001	4.768806446821004E-003
-7.8144759E-001	4.647756126262600E-003
-7.7813321E-001	4.544449186304145E-003
-7.7524614E-001	4.491538435494102E-003
-7.7225441E-001	4.443806223697229E-003
-7.6909286E-001	4.338387547412462E-003
-7.6622629E-001	4.225165428124442E-003
-7.6281780E-001	4.108596227037464E-003
-7.5983799E-001	4.044985411383099E-003
-7.5673699E-001	4.001340826737138E-003
-7.5376517E-001	3.933327309238996E-003
-7.5058031E-001	3.832221383878023E-003
-7.4730748E-001	3.718332933398683E-003
-7.4451441E-001	3.647034954545752E-003
-7.4132651E-001	3.605225073687744E-003
-7.3816288E-001	3.564063828954606E-003
-7.3511767E-001	3.488593610817214E-003
-7.3209012E-001	3.385241191348812E-003
-7.2892034E-001	3.302854359357552E-003
-7.2591609E-001	3.268418278157006E-003
-7.2303146E-001	3.241842460251304E-003
-7.2097069E-001	3.216165816411376E-003
-7.1981633E-001	3.196844365447760E-003
